Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
19-January-2018,9340.00,9395.45,9255.05,9321.35,9282.726023900465151457,105772,4585,981852497.00,70690,66.83,140.40,-18.65
18-January-2018,9340.50,9510.20,9334.85,9359.00,9423.932635032811711256,39620,4874,373376211.00,8579,21.65,175.35,18.50
17-January-2018,9340.00,9360.50,9257.10,9312.00,9313.566250043278052833,28883,3465,269003734.00,10433,36.12,103.40,-28.00
16-January-2018,9394.00,9408.95,9301.15,9320.50,9276.150760337273095474,162954,2801,1511585871.00,144425,88.63,107.80,-73.50
15-January-2018,9500.00,9503.00,9340.00,9356.45,9397.028901734104046242,27507,3182,258484074.00,9168,33.33,163.00,-143.55
12-January-2018,9356.00,9485.00,9356.00,9460.30,9436.969772715559449569,38806,4762,366211049.00,6736,17.36,129.00,104.30
11-January-2018,9400.00,9441.00,9325.00,9341.50,9351.728300412298903231,74218,3368,694066571.00,52614,70.89,116.00,-58.50
10-January-2018,9395.00,9455.00,9322.55,9384.15,9394.415463270248452776,22298,2912,209476676.00,5581,25.03,132.45,-10.85
9-January-2018,9459.00,9490.00,9367.75,9386.75,9408.654404447342232593,29141,3193,274177598.00,8093,27.77,122.25,-72.25
8-January-2018,9489.00,9496.25,9419.95,9449.20,9455.872529424827892516,18012,3091,170319176.00,5894,32.72,76.30,-39.80
5-January-2018,9425.05,9530.00,9415.00,9434.05,9465.157406570903725118,33207,3794,314309482.00,14013,42.20,115.00,9.00
4-January-2018,9433.20,9492.90,9335.00,9382.25,9416.462971037060105886,32110,4113,302362626.00,12802,39.87,157.90,-50.95
3-January-2018,9596.00,9635.15,9400.00,9416.75,9477.668902764559782734,43081,7086,408307454.00,13003,30.18,235.15,-179.25
2-January-2018,9694.00,9714.55,9531.00,9545.15,9551.607927348460440926,347632,4592,3320444567.00,288161,82.89,183.55,-148.85
1-January-2018,9749.00,9790.00,9645.10,9665.45,9725.303163767158481979,27246,3334,264975610.00,6203,22.77,144.90,-83.55
29-December-2017,9640.00,9764.00,9640.00,9731.35,9730.743304096778748842,63733,2711,620169463.00,46650,73.20,124.00,91.35
28-December-2017,9700.00,9700.00,9610.00,9630.50,9644.578538576345527093,32831,2872,316641158.00,6430,19.59,90.00,-69.50
27-December-2017,9714.90,9750.05,9635.00,9647.15,9685.599068403346847235,23186,3301,224570300.00,6457,27.85,115.05,-67.75
26-December-2017,9749.90,9800.00,9630.90,9670.85,9684.038369960863734639,36539,5013,353845078.00,10989,30.07,169.10,-79.05
22-December-2017,9679.00,9822.95,9600.00,9700.25,9722.735432394998146739,51261,6206,498397141.00,14941,29.15,222.95,21.25
21-December-2017,9770.00,9820.00,9610.00,9629.15,9682.875266483934825643,52536,6588,508699535.00,27200,51.77,210.00,-140.85
20-December-2017,9970.00,10000.00,9711.00,9737.65,9853.397871062604841882,96574,12230,951582046.00,24501,25.37,289.00,-232.35
19-December-2017,9390.00,9855.00,9340.00,9804.50,9583.826258563393308454,92983,8714,891132917.00,15173,16.32,515.00,414.50
18-December-2017,9148.00,9345.00,9000.00,9308.05,9311.437634947115655689,603014,6617,5614927254.00,19841,3.29,345.00,160.05
15-December-2017,9170.00,9237.00,9138.00,9164.00,9181.348721767187887813,24174,2918,221949924.00,10614,43.91,99.00,-6.00
14-December-2017,9129.00,9145.00,9050.00,9117.95,9094.548686946582756103,72617,2851,660418842.00,62168,85.61,95.00,-11.05
13-December-2017,9110.00,9175.00,9080.00,9110.60,9119.511255738490753885,54239,2622,494633171.00,41124,75.82,95.00,0.60
12-December-2017,9150.00,9214.45,9101.10,9142.75,9163.893231357552581261,26150,4391,239635808.00,6965,26.63,113.35,-7.25
11-December-2017,9100.00,9167.70,9090.00,9141.35,9120.381290908918183746,631586,4130,5760305138.00,7756,1.23,77.70,41.35
8-December-2017,8912.00,9119.95,8910.00,9040.85,9010.189503046471720266,287874,6806,2593799293.00,167149,58.06,209.95,128.85
7-December-2017,8612.00,8918.95,8610.00,8881.10,8793.645731232250119379,39789,4546,349890370.00,12996,32.66,308.95,269.10
6-December-2017,8500.00,8626.95,8455.35,8600.65,8586.880603225184448481,98537,2642,846125454.00,85662,86.93,171.60,100.65
5-December-2017,8519.00,8553.00,8479.00,8496.25,8508.045231325924011372,11607,1748,98752881.00,3599,31.01,74.00,-22.75
4-December-2017,8610.00,8650.00,8500.00,8512.90,8542.464308773943611449,13939,2227,119073410.00,4596,32.97,150.00,-97.10
1-December-2017,8645.25,8695.00,8595.00,8607.55,8645.520860874623235154,18911,2779,163495445.00,5011,26.50,100.00,-37.70
30-November-2017,8661.00,8680.00,8581.85,8602.30,8595.024630300656155126,61266,2604,526582779.00,46752,76.31,98.15,-58.70
29-November-2017,8664.00,8695.00,8582.00,8668.95,8636.892551210428305400,10740,1627,92760226.00,2554,23.78,113.00,4.95
28-November-2017,8507.00,8650.00,8491.50,8626.20,8595.267072117730975710,26637,2677,228952129.00,5129,19.26,158.50,119.20
27-November-2017,8489.65,8514.95,8450.00,8506.90,8480.443306677069111241,30762,1390,260875397.00,12406,40.33,64.95,17.25
24-November-2017,8475.00,8534.00,8475.00,8487.70,8501.808259587020648967,9492,1292,80699164.00,2920,30.76,59.00,12.70
23-November-2017,8524.00,8525.00,8465.00,8481.85,8487.305056680677620685,7851,1069,66633832.00,2185,27.83,60.00,-42.15
22-November-2017,8422.00,8531.50,8422.00,8514.30,8489.127065278383939148,16039,2241,136157109.00,4386,27.35,109.50,92.30
21-November-2017,8425.00,8458.85,8401.00,8423.50,8425.653784380646456534,9962,1757,83936363.00,3186,31.98,57.85,-1.50
20-November-2017,8355.00,8455.00,8355.00,8423.70,8416.528047401863329824,25653,3339,215909194.00,7740,30.17,100.00,68.70
17-November-2017,8165.50,8359.00,8165.50,8340.70,8298.671573512093486728,22078,2896,183218071.00,5278,23.91,193.50,175.20
16-November-2017,8145.00,8225.00,8138.00,8165.50,8175.010786957587644030,12237,1565,100037607.00,3057,24.98,87.00,20.50
15-November-2017,8127.95,8180.00,8090.00,8122.90,8132.675008812125484666,8511,1327,69217197.00,1507,17.71,90.00,-5.05
14-November-2017,8115.00,8182.85,8108.75,8128.00,8146.409110629067245119,9220,1423,75109892.00,2458,26.66,74.10,13.00
13-November-2017,8192.50,8218.30,8083.55,8107.85,8152.060854503464203233,8660,1426,70596847.00,2864,33.07,134.75,-84.65
10-November-2017,8204.00,8229.70,8108.10,8164.95,8178.359857563514346367,14603,1694,119428589.00,2920,20.00,121.60,-39.05
9-November-2017,8260.00,8275.00,8155.10,8201.95,8215.227186602285923843,16361,2851,134409332.00,8004,48.92,119.90,-58.05
8-November-2017,8220.00,8284.95,8204.00,8229.75,8233.792740309209052207,13389,2186,110242251.00,4091,30.55,80.95,9.75
7-November-2017,8359.90,8359.90,8223.00,8235.25,8277.228352490421455938,18270,2169,151224962.00,7716,42.23,136.90,-124.65
6-November-2017,8239.50,8370.45,8209.00,8301.55,8318.133138882656495400,22285,3031,185369597.00,8183,36.72,161.45,62.05
3-November-2017,8250.00,8250.00,8180.05,8216.40,8208.156508348192575782,12338,1801,101272235.00,4413,35.77,69.95,-33.60
2-November-2017,8246.00,8270.00,8204.00,8215.30,8233.094227270221094999,18137,1931,149323630.00,5489,30.26,66.00,-30.70
1-November-2017,8230.00,8259.95,8170.00,8235.05,8208.827153512669305544,37137,4488,304851214.00,13659,36.78,89.95,5.05
