"Category","State/ UT Name","One Star - Hotels - 2010","One Star - Rooms - 2010","One Star - Hotels - 2012","One Star - Rooms - 2012","One Star - Hotels - 2013","One Star - Rooms - 2013","One Star - Hotels - 2014","One Star - Rooms - 2014","One Star - Hotels - 2015 ","One Star - Rooms - 2015 ","Two Star - Hotels - 2010","Two Star - Rooms - 2010","Two Star - Hotels - 2012","Two Star - Rooms - 2012","Two Star - Hotels - 2013","Two Star - Rooms - 2013","Two Star - Hotels - 2014","Two Star - Rooms - 2014","Two Star - Hotels - 2015 ","Two Star - Rooms - 2015 ","Three Star - Hotels - 2010","Three Star - Rooms - 2010","Three Star - Hotels - 2012","Three Star - Rooms - 2012","Three Star - Hotels - 2013","Three Star - Rooms - 2013","Three Star - Hotels - 2014","Three Star - Rooms - 2014","Three Star - Hotels - 2015 ","Three Star - Rooms - 2015 ","Four Star - Hotels - 2010","Four Star - Rooms - 2010","Four Star - Hotels - 2012","Four Star - Rooms - 2012","Four Star - Hotels - 2013","Four Star - Rooms - 2013","Four Star - Hotels - 2014","Four Star - Rooms - 2014","Four Star - Hotels - 2015 ","Four Star - Rooms - 2015 ","Five Star - Hotels - 2010","Five Star - Rooms - 2010","Five Star - Hotels - 2012","Five Star - Rooms - 2012","Five Star - Hotels - 2013","Five Star - Rooms - 2013","Five Star - Hotels - 2014","Five Star - Rooms - 2014","Five Star - Hotels - 2015 ","Five Star - Rooms - 2015 ","Five Star Delux - Hotels - 2010","Five Star Delux - Rooms - 2010","Five Star Delux - Hotels - 2012","Five Star Delux - Rooms - 2012","Five Star Delux - Hotels - 2013","Five Star Delux - Rooms - 2013","Five Star Delux - Hotels - 2014","Five Star Delux - Rooms - 2014","Five Star Delux - Hotels - 2015 ","Five Star Delux - Rooms - 2015 ","Others - Hotels - 2010","Others - Rooms - 2010","Others - Hotels - 2012","Others - Rooms - 2012","Others - Hotels - 2013","Others - Rooms - 2013","Others - Hotels - 2014","Others - Rooms - 2014","Others - Hotels - 2015 ","Others - Rooms - 2015 "
"State","Andhra Pradesh","2","49","1","23","0","0","0","0","0","0","10","262","1","10","1","10","0","0","0","0","106","6137","61","4054","43","3062","34","2763","15","997","8","863","4","424","6","787","7","891","5","501","7","991","5","774","7","1152","9","1500","3","298","5","1021","4","570","5","1188","8","1802","1","225","0","0","1","256","1","70","1","70","0","0"
"State","Arunachal Pradesh","0","0","0","0","0","0","0","0","0","0","0","0","2","54","1","23","1","23","2","35","0","0","1","18","1","18","1","18","2","71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"State","Assam","0","0","0","0","0","0","0","0","0","0","8","225","7","160","5","115","3","62","6","146","20","720","19","673","13","442","8","273","18","665","2","148","3","117","3","117","3","117","2","216","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","0","0","1","39","1","39","3","12"
"State","Bihar","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","196","0","0","1","63","1","63","2","98","4","214","1","68","0","0","0","0","0","0","0","0","1","79","0","0","0","0","1","81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","68","2","69","3","11"
"State","Chhattisgarh","0","0","0","0","0","0","0","0","0","0","1","13","0","0","0","0","0","0","0","0","1","31","3","123","1","54","1","54","1","54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","108","0","0","0","0","0","0","0","0","0","0"
"State","Goa","1","26","0","0","1","10","0","0","0","0","13","737","8","448","3","162","1","10","1","10","13","847","16","1004","16","1017","12","797","12","692","4","480","3","371","3","434","3","434","5","418","13","1662","10","817","11","929","10","820","10","759","21","3572","13","2000","12","1960","9","1633","15","2414","3","33","1","2","2","32","8","560","1","24"
"State","Gujarat","1","10","0","0","0","0","0","0","0","0","9","461","2","50","0","0","1","16","1","16","30","1521","32","1892","28","1641","21","1188","25","1504","5","279","5","253","3","166","4","236","8","597","9","742","6","573","9","867","10","1100","17","2185","0","0","0","0","1","170","1","170","4","615","6","114","2","85","2","42","10","753","2","28"
"State","Haryana","1","136","0","0","0","0","0","0","0","0","3","60","2","34","1","24","1","24","0","0","48","2816","30","1811","32","1974","28","1486","27","1497","12","1080","6","608","5","504","5","504","4","494","2","212","1","80","2","365","1","285","3","599","5","851","3","632","3","344","4","1108","10","2616","156","580","10","144","3","509","5","695","97","491"
"State","Himachal Pradesh","0","0","0","0","0","0","0","0","0","0","5","135","3","87","2","66","0","0","1","15","7","207","3","86","3","84","1","30","4","126","1","41","0","0","0","0","0","0","0","0","3","213","0","0","0","0","0","0","1","59","3","137","1","85","1","85","1","85","0","0","16","363","6","174","4","145","5","225","61","469"
"State","Jammu & Kashmir","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","190","2","120","2","107","2","107","2","107","1","44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","237","1","112","0","0","1","113","4","20"
