Music Artist,Total Digital Downloads
Rihanna,117500000
Taylor Swift,99500000
Katy Perry,84500000
Justin Bieber,60500000
Lady Gaga,59000000
Kanye West,49500000
Drake,45000000
Flo Rida,43000000
Bruno Mars,39000000
Eminem,34000000
Lil Wayne,32000000
Adele,31500000
Carrie Underwood,30500000
Florida Georgia Line,28500000
Jason Aldean,27500000
The Weeknd,27000000
Nicki Minaj,26000000
Jason Derulo,25000000
Wiz Khalifa,25000000
Blake Shelton,25000000
Beyonce,25000000
Fall Out Boy,24500000
Luke Bryan,24000000
Meghan Trainor,23000000
Macklemore & Ryan Lewis,22500000
Ed Sheeran,22000000
The Black Eyed Peas,22000000
Maroon 5,21000000
Tim Mcgraw,20000000
Imagine Dragons,19000000
Ariana Grande,18500000
Lmfao,18000000
Twenty One Pilots,18000000
Fun.,17000000
The Fray,17000000
Fergie,16500000
Sam Smith,16500000
Miley Cyrus,16000000
Jay Z,15500000
Selena Gomez & The Scene,15000000
Kenny Chesney,15000000
Justin Timberlake,15000000
Iggy Azalea,14500000
Demi Lovato,14500000
Eric Church,14500000
Lady Antebellum,14500000
Akon,13500000
One Direction,13500000
Big Sean,13500000
